Day,TMAX,TMIN
1,48,24.8
2,48.3,25.1
3,48.6,25.4
4,48.9,25.7
5,49.2,25.9
6,49.5,26.2
7,49.8,26.5
8,50.1,26.8
9,50.5,27.1
10,50.8,27.4
11,51.1,27.7
12,51.4,28
13,51.8,28.3
14,52.1,28.6
15,52.4,28.9
16,52.7,29.2
17,53.1,29.5
18,53.4,29.8
19,53.7,30.1
20,54.1,30.4
21,54.4,30.7
22,54.8,31
23,55.1,31.3
24,55.4,31.6
25,55.8,31.9
26,56.1,32.1
27,56.5,32.4
28,56.8,32.7
29,57.2,33
30,57.5,33.2
31,57.9,33.5
